ts,cheval,cavalier,discipline,epreuve,hauteur,classement_estime,proba,verdict,is_cold_start,model_name,snapshot,id
2026-05-25T05:55:04,ILDA,Voir sa fiche,Equifun 70 cm,Club Elite Chp Dpt Circuit Dpt individuel,,1,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,6741cc514471
2026-05-25T05:55:04,VENUS D'OLYMPE,Voir sa fiche,Equifun 70 cm,Club Elite Chp Dpt Circuit Dpt individuel,,2,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,4763da71a133
2026-05-25T05:55:04,DAKOTA DE MESNES,Voir sa fiche,Equifun 70 cm,Club Elite Chp Dpt Circuit Dpt individuel,,3,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,560bae8005b0
2026-05-25T05:55:04,GIULIA DU CADRAN,Voir sa fiche,Equifun 70 cm,Club Elite Chp Dpt Circuit Dpt individuel,,4,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,54e93f78a73f
2026-05-25T05:55:04,LE BOSC,Voir sa fiche,Equifun 70 cm,Club Elite Chp Dpt Circuit Dpt individuel,,5,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,635a33eafacd
2026-05-25T05:55:04,VALMONT D'ELITE Z,Voir sa fiche,Equifun 70 cm,Club Elite Chp Dpt Circuit Dpt individuel,,6,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,f0ae911a068a
2026-05-25T05:55:04,DEMONIAK DES ANGES,Voir sa fiche,Equifun 70 cm,Club Elite Chp Dpt Circuit Dpt individuel,,7,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,c3bac083be75
2026-05-25T05:55:04,ICE FULL D'OTHON,Voir sa fiche,Equifun 70 cm,Club Elite Chp Dpt Circuit Dpt individuel,,8,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,052b4e793565
2026-05-25T05:55:04,ILDA,Voir sa fiche,Equifun 70 cm,Club Elite Chp Dpt Circuit Dpt individuel,,9,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,12ac612938a6
2026-05-25T05:55:04,DIADEME NEISCAOUEN,Voir sa fiche,Equifun 70 cm,Club Elite Chp Dpt Circuit Dpt individuel,,10,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,680c5385c390
2026-05-25T05:55:04,VENUS D'OLYMPE,Voir sa fiche,Equifun 70 cm,Club Elite Chp Dpt Circuit Dpt individuel,,11,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,41d06575bb20
2026-05-25T05:55:04,EVIL DE LYNDE,Voir sa fiche,Equifun 70 cm,Club Elite Chp Dpt Circuit Dpt individuel,,12,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,db3916889544
2026-05-25T05:55:04,MOON DE LA THIB,Voir sa fiche,Equifun 70 cm,Club Elite Chp Dpt Circuit Dpt individuel,,13,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,d230a7c294f5
2026-05-25T05:55:04,RICARDO'THON,Voir sa fiche,Equifun 70 cm,Club Elite Chp Dpt Circuit Dpt individuel,,14,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,5b760965ab5f
2026-05-25T05:55:04,LARANJA,Voir sa fiche,Equifun 70 cm,Club Elite Chp Dpt Circuit Dpt individuel,,15,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,02f46924aa8e
2026-05-25T05:55:04,YOU MY ANGEL,Voir sa fiche,Equifun 70 cm,Club Elite Chp Dpt Circuit Dpt individuel,,16,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,c24ca2ce5b84
2026-05-25T05:55:04,LUCIFER DE MAURET,Voir sa fiche,Equifun 70 cm,Club Elite Chp Dpt Circuit Dpt individuel,,17,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,2b38a32f331e
2026-05-25T05:55:04,JAG D'OLMEN,Voir sa fiche,Equifun 70 cm,Club Elite Chp Dpt Circuit Dpt individuel,,18,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,a3fceae8d0aa
2026-05-25T05:55:04,ILDA,Voir sa fiche,Equifun 70 cm,Club Elite Chp Dpt Circuit Dpt individuel,,19,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,577d754f73c5
